"year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
2016,"ALABAMA","AL",1,63,41,"US PRESIDENT","TRUMP, DONALD J.","REPUBLICAN",FALSE,1318255,2123372,"20210113",NA,"REPUBLICAN"
2016,"ALABAMA","AL",1,63,41,"US PRESIDENT","CLINTON, HILLARY","DEMOCRAT",FALSE,729547,2123372,"20210113",NA,"DEMOCRAT"
2016,"ALABAMA","AL",1,63,41,"US PRESIDENT","JOHNSON, GARY","LIBERTARIAN",FALSE,44467,2123372,"20210113",NA,"LIBERTARIAN"
2016,"ALABAMA","AL",1,63,41,"US PRESIDENT","","",TRUE,21712,2123372,"20210113",NA,"OTHER"
2016,"ALABAMA","AL",1,63,41,"US PRESIDENT","STEIN, JILL","GREEN",FALSE,9391,2123372,"20210113",NA,"OTHER"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","TRUMP, DONALD J.","REPUBLICAN",FALSE,163387,318608,"20210113",NA,"REPUBLICAN"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","CLINTON, HILLARY","DEMOCRAT",FALSE,116454,318608,"20210113",NA,"DEMOCRAT"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","JOHNSON, GARY","LIBERTARIAN",FALSE,18725,318608,"20210113",NA,"LIBERTARIAN"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","","",TRUE,9201,318608,"20210113",NA,"OTHER"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","STEIN, JILL","GREEN",FALSE,5735,318608,"20210113",NA,"OTHER"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","CASTLE, DARRELL L.","CONSTITUTION PARTY",FALSE,3866,318608,"20210113",NA,"OTHER"
2016,"ALASKA","AK",2,94,81,"US PRESIDENT","DE LA FUENTE, ROQUE """"ROCKY""""","NO PARTY AFFILIATION",FALSE,1240,318608,"20210113",NA,"OTHER"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","TRUMP, DONALD J.","REPUBLICAN",FALSE,1252401,2573165,"20210113",NA,"REPUBLICAN"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","CLINTON, HILLARY","DEMOCRAT",FALSE,1161167,2573165,"20210113",NA,"DEMOCRAT"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","JOHNSON, GARY","LIBERTARIAN",FALSE,106327,2573165,"20210113",NA,"LIBERTARIAN"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","STEIN, JILL","GREEN",FALSE,34345,2573165,"20210113",NA,"OTHER"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","","INDEPENDENT",TRUE,17473,2573165,"20210113",NA,"OTHER"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","CASTLE, DARRELL L.","CONSTITUTION PARTY",TRUE,1058,2573165,"20210113",NA,"OTHER"
2016,"ARIZONA","AZ",4,86,61,"US PRESIDENT","","NO PARTY AFFILIATION",TRUE,311,2573165,"20210113",NA,"OTHER"
