date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,candidatevotes,totalvotes,version
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Jarvis,independent,TRUE,0.0,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Fortune,independent,TRUE,0.0,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Gill,independent,TRUE,0.0,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.002746725933038380,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Abramson,libertarian,FALSE,0.04310193788343450,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Van Ostern,democratic,FALSE,0.46572800653364800,,,
11/08/2016,New Hampshire,NH,FALSE,FALSE,FALSE,Sununu,republican,FALSE,0.48842332964987900,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Pence,republican,FALSE,0.0,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Stried,independent,TRUE,1.10295415240179E-06,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Adkins,independent,TRUE,1.50737067494912E-05,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Bell,libertarian,FALSE,0.03199486170425530,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Gregg,democratic,FALSE,0.45423438805162400,,,
11/08/2016,Indiana,IN,FALSE,FALSE,FALSE,Holcomb,republican,FALSE,0.5137545735832190,,,
11/08/2016,North Carolina,NC,FALSE,FALSE,FALSE,Cecil,libertarian,FALSE,0.021858776051185600,,,
11/08/2016,North Carolina,NC,FALSE,FALSE,FALSE,McCrory,republican,FALSE,0.487979870151097,,,
11/08/2016,North Carolina,NC,FALSE,FALSE,FALSE,Cooper,democratic,FALSE,0.4901613537977170,,,
11/08/2016,West Virginia,WV,FALSE,FALSE,FALSE,Hudok,constitution,FALSE,0.005660789680860900,,,
11/08/2016,West Virginia,WV,FALSE,FALSE,FALSE,Moran,libertarian,FALSE,0.0215084792773913,,,
11/08/2016,West Virginia,WV,FALSE,FALSE,FALSE,Pritt,mountain,FALSE,0.058930487575960500,,,
