date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/8/2016,AK,0,Souphanavong,none,2.962179,,
11/8/2016,AK,0,Young,republican,50.522201,,
11/8/2016,AK,0,Lindbeck,democrat,36.166075,,
11/8/2016,AK,0,McDermott,libertarian,10.349546,,
11/8/2016,AK,PV,none,none,2.9621787145323600,,
11/8/2016,AK,PV,republican,republican,50.522200866534200,,
11/8/2016,AK,PV,democrat,democrat,36.16607486073560,,
11/8/2016,AK,PV,libertarian,libertarian,10.349545558197900,,
11/8/2016,AL,1,Byrne,republican,100,,
11/8/2016,AL,2,Mathis,democrat,45.384756,,
11/8/2016,AL,2,Roby,republican,54.615244,,
11/8/2016,AL,3,Rogers,republican,67.023121,,
11/8/2016,AL,3,Smith,democrat,32.976879,,
11/8/2016,AL,4,Aderholt,republican,100,,
11/8/2016,AL,5,Brooks,republican,66.794313,,
11/8/2016,AL,5,Boyd,democrat,33.205687,,
11/8/2016,AL,6,Putnam,democrat,25.441764,,
11/8/2016,AL,6,Palmer,republican,74.558236,,
11/8/2016,AL,7,Sewell,democrat,100,,
11/8/2016,AL,PV,republican,republican,66.27250832325970,,
11/8/2016,AL,PV,democrat,democrat,33.727491676740300,,
11/8/2016,AR,1,West,libertarian,23.72193,,
11/8/2016,AR,1,Crawford,republican,76.27807,,
11/8/2016,AR,2,Hill,republican,58.403302,,
11/8/2016,AR,2,Hayes,libertarian,4.746476,,
11/8/2016,AR,2,Curry,democrat,36.850222,,
11/8/2016,AR,3,Womack,republican,77.318116,,
11/8/2016,AR,3,Isaacson,libertarian,22.681884,,
11/8/2016,AR,4,Hicks,libertarian,25.095942,,
11/8/2016,AR,4,Westerman,republican,74.904058,,
11/8/2016,AR,PV,libertarian,libertarian,18.395280611528500,,
11/8/2016,AR,PV,republican,republican,71.18164440958030,,
11/8/2016,AR,PV,democrat,democrat,10.423074978891200,,
11/8/2016,AZ,1,Babeu,republican,43.370382,,
11/8/2016,AZ,1,O'Halleran,democrat,50.66403,,
11/8/2016,AZ,1,Parrish,green,5.965587,,
11/8/2016,AZ,2,McSally,republican,56.958493,,
11/8/2016,AZ,2,Heinz,democrat,43.041507,,
11/8/2016,AZ,3,Grijalva,democrat,99.777636,,
11/8/2016,AZ,3,Vasquez,republican,0.222364,,
11/8/2016,AZ,4,Gosar,republican,71.453352,,
11/8/2016,AZ,4,Weisser,democrat,28.546648,,
11/8/2016,AZ,5,Biggs,republican,64.095163,,
11/8/2016,AZ,5,Fuentes,democrat,35.904837,,
11/8/2016,AZ,6,Williamson,democrat,37.869709,,
11/8/2016,AZ,6,Schweikert,republican,62.130291,,
11/8/2016,AZ,7,Nunez,republican,24.746931,,
