date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/8/2016,Alabama,AL,Trump,republican,62.083092364409100,,,,20171015
11/8/2016,Alabama,AL,Clinton,democrat,34.357945757973600,,,,20171015
11/8/2016,Alabama,AL,Johnson,libertarian,2.0941690857748900,,,,20171015
11/8/2016,Alabama,AL,Stein,green,0.44226824126907600,,,,20171015
11/8/2016,Alaska,AK,Trump,republican,51.281512077537300,,,,20171015
11/8/2016,Alaska,AK,Clinton,democrat,36.55087129011200,,,,20171015
11/8/2016,Alaska,AK,Johnson,libertarian,5.8771280068297100,,,,20171015
11/8/2016,Alaska,AK,Stein,green,1.8000175764575900,,,,20171015
11/8/2016,Alaska,AK,Castle,constitution party,1.2134033043740300,,,,20171015
11/8/2016,Alaska,AK,De La Fuente,no party affiliation,0.38919298950434400,,,,20171015
11/8/2016,Arizona,AZ,Trump,republican,48.671616472321100,,,,20171015
11/8/2016,Arizona,AZ,Clinton,democrat,45.126021844693200,,,,20171015
11/8/2016,Arizona,AZ,Johnson,libertarian,4.1321485408048100,,,,20171015
11/8/2016,Arizona,AZ,Stein,green,1.3347375702685200,,,,20171015
11/8/2016,Arizona,AZ,Castle,constitution party,0.04111667926464100,,,,20171015
11/8/2016,Arizona,AZ,De La Fuente,american delta party,0.0011270167284258900,,,,20171015
11/8/2016,Arizona,AZ,Tittle,we the people,0.00046635174969347100,,,,20171015
11/8/2016,Arkansas,AR,Trump,republican,60.574102163828300,,,,20171015
11/8/2016,Arkansas,AR,Clinton,democrat,33.653124129360900,,,,20171015
11/8/2016,Arkansas,AR,Johnson,libertarian,2.6382519557593700,,,,20171015
11/8/2016,Arkansas,AR,McMullin,better for america,1.1723500510774900,,,,20171015
11/8/2016,Arkansas,AR,Stein,green,0.83784775811822600,,,,20171015
11/8/2016,Arkansas,AR,Hedges,prohibition,0.41649161754235500,,,,20171015
11/8/2016,Arkansas,AR,Castle,constitution party,0.40800081370203500,,,,20171015
11/8/2016,Arkansas,AR,Kahn,independent,0.29983151061129400,,,,20171015
11/8/2016,California,CA,Clinton,democrat,61.726399604557900,,,,20171015
11/8/2016,California,CA,Trump,republican,31.617106538439400,,,,20171015
11/8/2016,California,CA,Johnson,libertarian,3.3740915602229500,,,,20171015
11/8/2016,California,CA,Stein,green,1.9649200248632100,,,,20171015
11/8/2016,California,CA,La Riva,peace & freedom,0.46610413003614900,,,,20171015
11/8/2016,Colorado,CO,Clinton,democrat,48.156980382847400,,,,20171015
11/8/2016,Colorado,CO,Trump,republican,43.25139737143100,,,,20171015
11/8/2016,Colorado,CO,Johnson,libertarian,5.1837984044428100,,,,20171015
11/8/2016,Colorado,CO,Stein,green,1.3825164915006700,,,,20171015
11/8/2016,Colorado,CO,Castle,american constitution party,0.42079403788189400,,,,20171015
11/8/2016,Colorado,CO,Keniston,veterans party of america,0.18084899756134400,,,,20171015
11/8/2016,Colorado,CO,De La Fuente,american delta party,0.045140312637129400,,,,20171015
11/8/2016,Colorado,CO,Kopitke,independent american,0.039421340757206300,,,,20171015
11/8/2016,Colorado,CO,Maldonado,independent people of colorado,0.031364424398069200,,,,20171015
11/8/2016,Colorado,CO,Maturen,american solidarity party,0.031004740632036300,,,,20171015
11/8/2016,Colorado,CO,Silva,nutrition party,0.027012250829071100,,,,20171015
11/8/2016,Colorado,CO,Hoefling,america's party,0.025537547388336200,,,,20171015
11/8/2016,Colorado,CO,La Riva,socialism and liberation party,0.019099207976347200,,,,20171015
11/8/2016,Colorado,CO,Kennedy,socialist workers,0.016257706224687300,,,,20171015
11/8/2016,Colorado,CO,Kotlikoff,kotlikoff for president,0.014099603628489800,,,,20171015
11/8/2016,Colorado,CO,Lyttle,nonviolent resistance/pacifist,0.013739919862456900,,,,20171015
11/8/2016,Colorado,CO,Atwood,approval voting party,0.012121342915308900,,,,20171015
11/8/2016,Colorado,CO,Soltysik,socialist party usa,0.0097474300594916900,,,,20171015
11/8/2016,Colorado,CO,Hedges,prohibition,0.0066541496716087200,,,,20171015
11/8/2016,Connecticut,CT,Clinton,democrat,54.566301096709900,,,,20171015
11/8/2016,Connecticut,CT,Trump,republican,40.926914378814800,,,,20171015
11/8/2016,Connecticut,CT,Johnson,libertarian,2.9591712666877400,,,,20171015
11/8/2016,Connecticut,CT,Stein,green,1.3885781679352200,,,,20171015
11/8/2016,Delaware,DE,Clinton,democrat,53.353336805634200,,,,20171015
11/8/2016,Delaware,DE,Trump,republican,41.922824339319300,,,,20171015
11/8/2016,Delaware,DE,Johnson,libertarian,3.3417876310604900,,,,20171015
11/8/2016,Delaware,DE,Stein,green,1.3820512239860500,,,,20171015
11/8/2016,District of Columbia,DC,Clinton,democrat,90.8638215299999,,,,20171015
